dia_entrega,inicio_utc,inicio_local,precio_previsto,prob_precio_cero,emitida_utc
2026-09-14,2026-09-13 22:00:00,2026-09-14 00:00,222.14,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-13 22:15:00,2026-09-14 00:15,218.67,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-13 22:30:00,2026-09-14 00:30,218.45,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-13 22:45:00,2026-09-14 00:45,213.23,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-13 23:00:00,2026-09-14 01:00,218.17,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-13 23:15:00,2026-09-14 01:15,216.09,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-13 23:30:00,2026-09-14 01:30,214.73,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-13 23:45:00,2026-09-14 01:45,209.93,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 00:00:00,2026-09-14 02:00,194.91,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 00:15:00,2026-09-14 02:15,194.49,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 00:30:00,2026-09-14 02:30,192.87,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 00:45:00,2026-09-14 02:45,191.6,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 01:00:00,2026-09-14 03:00,203.45,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 01:15:00,2026-09-14 03:15,201.62,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 01:30:00,2026-09-14 03:30,197.11,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 01:45:00,2026-09-14 03:45,196.62,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 02:00:00,2026-09-14 04:00,195.22,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 02:15:00,2026-09-14 04:15,195.15,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 02:30:00,2026-09-14 04:30,195.54,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 02:45:00,2026-09-14 04:45,195.86,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 03:00:00,2026-09-14 05:00,202.1,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 03:15:00,2026-09-14 05:15,203.28,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 03:30:00,2026-09-14 05:30,206.62,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 03:45:00,2026-09-14 05:45,212.53,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 04:00:00,2026-09-14 06:00,215.96,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 04:15:00,2026-09-14 06:15,224.11,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 04:30:00,2026-09-14 06:30,225.92,0.0,2026-09-13 09:11:21
2026-09-14,2026-09-14 04:45:00,2026-09-14 06:45,228.17,0.0,2026-09-13 09:11:21
