period_start_utc,price_real,pred_produccion,pred_agrupado,pred_por_hora,pred_redes,pred_mezcla,pred_mezcla_calibrada,filtro_precio_cero
2025-04-01 00:00:00,70.030,63.427,64.715,58.627,66.062,63.427,63.427,False
2025-04-01 01:00:00,60.480,60.405,62.155,54.502,63.521,60.405,60.405,False
2025-04-01 02:00:00,61.590,60.791,59.612,61.303,61.291,60.791,60.791,False
2025-04-01 03:00:00,68.200,63.288,60.893,64.790,63.957,63.288,63.288,False
2025-04-01 04:00:00,84.200,70.059,55.752,70.919,80.145,70.059,70.059,False
2025-04-01 05:00:00,155.500,94.580,75.707,92.579,110.237,94.580,94.580,False
2025-04-01 06:00:00,159.370,108.842,111.196,107.059,119.453,113.257,108.842,False
2025-04-01 07:00:00,87.970,71.370,65.253,75.254,73.044,71.370,71.370,False
2025-04-01 08:00:00,38.100,41.036,35.340,46.126,41.490,41.036,41.036,False
2025-04-01 09:00:00,12.000,24.520,20.214,31.197,22.742,24.520,24.520,False
2025-04-01 10:00:00,8.260,-0.094,13.784,14.402,13.273,13.765,13.765,True
2025-04-01 11:00:00,6.480,-0.094,13.350,5.234,7.002,8.376,8.376,True
2025-04-01 12:00:00,5.800,-0.094,10.244,9.127,-0.390,5.655,5.655,True
2025-04-01 13:00:00,6.380,-0.094,10.042,2.105,-1.629,2.993,2.993,True
2025-04-01 14:00:00,6.380,-0.094,8.047,3.554,0.935,3.854,3.854,True
2025-04-01 15:00:00,6.590,9.707,12.686,9.848,7.366,9.707,9.707,False
2025-04-01 16:00:00,18.410,19.021,17.853,18.482,20.302,19.021,19.021,False
2025-04-01 17:00:00,53.710,61.582,54.249,67.822,62.402,61.582,61.582,False
2025-04-01 18:00:00,114.960,131.135,142.644,135.854,125.762,133.854,131.135,False
2025-04-01 19:00:00,120.930,142.711,156.225,142.323,137.462,144.549,142.711,False
2025-04-01 20:00:00,84.200,100.246,97.762,110.384,94.507,100.246,100.246,False
2025-04-01 21:00:00,58.440,75.821,78.962,79.975,70.351,75.821,75.821,False
2025-04-01 22:00:00,38.110,54.912,62.980,54.091,49.475,54.912,54.912,False
2025-04-01 23:00:00,26.340,47.591,52.834,47.580,43.666,47.591,47.591,False
2025-04-02 00:00:00,26.100,46.608,53.597,47.037,41.045,46.608,46.608,False
2025-04-02 01:00:00,20.000,42.150,50.438,36.980,39.813,42.150,42.150,False
2025-04-02 02:00:00,20.000,40.802,49.769,37.709,36.395,40.802,40.802,False
2025-04-02 03:00:00,26.340,44.830,52.709,45.800,38.194,44.830,44.830,False
2025-04-02 04:00:00,39.870,57.278,69.584,52.645,51.523,57.278,57.278,False
2025-04-02 05:00:00,90.080,87.313,90.862,85.920,85.695,87.313,87.313,False
2025-04-02 06:00:00,104.900,84.263,92.596,72.410,86.904,84.263,84.263,False
2025-04-02 07:00:00,54.330,51.396,52.988,50.867,50.598,51.396,51.396,False
2025-04-02 08:00:00,21.150,24.340,23.079,32.293,19.321,24.340,24.340,False
2025-04-02 09:00:00,1.520,12.317,12.599,16.059,9.299,12.317,12.317,False
2025-04-02 10:00:00,0.000,7.395,10.367,7.524,5.070,7.395,7.395,False
2025-04-02 11:00:00,0.000,-0.094,8.434,3.953,3.794,5.234,5.234,True
2025-04-02 12:00:00,-0.010,-0.094,5.762,2.842,0.239,2.677,2.677,True
2025-04-02 13:00:00,-0.020,-0.094,3.337,1.698,-2.102,0.670,0.670,True
2025-04-02 14:00:00,-0.010,-0.094,5.882,4.877,-5.633,0.975,0.975,True
2025-04-02 15:00:00,0.040,1.708,9.831,2.045,-4.636,1.708,1.708,False
2025-04-02 16:00:00,7.960,9.233,13.610,4.907,9.195,9.233,9.233,False
2025-04-02 17:00:00,32.960,35.467,34.746,39.230,33.185,35.467,35.467,False
2025-04-02 18:00:00,53.110,58.368,50.333,71.250,54.733,58.368,58.368,False
2025-04-02 19:00:00,49.230,70.032,72.593,66.938,70.430,70.032,70.032,False
2025-04-02 20:00:00,32.950,40.542,34.070,45.691,41.535,40.542,40.542,False
2025-04-02 21:00:00,27.300,29.889,28.268,24.479,35.162,29.889,29.889,False
2025-04-02 22:00:00,20.370,20.235,20.156,13.742,25.165,20.235,20.235,False
2025-04-02 23:00:00,19.070,11.949,10.889,7.384,16.167,11.949,11.949,False
2025-04-03 00:00:00,16.320,12.542,11.431,7.180,17.396,12.542,12.542,False
2025-04-03 01:00:00,12.270,11.542,9.111,7.618,16.308,11.542,11.542,False
2025-04-03 02:00:00,9.070,12.490,10.345,10.594,15.521,12.490,12.490,False
2025-04-03 03:00:00,11.940,13.475,14.859,7.092,17.223,13.475,13.475,False
2025-04-03 04:00:00,19.700,20.802,21.480,13.494,25.775,20.802,20.802,False
2025-04-03 05:00:00,38.110,46.986,41.720,33.433,61.101,46.986,46.986,False
2025-04-03 06:00:00,56.330,66.688,70.329,51.140,75.619,66.688,66.688,False
2025-04-03 07:00:00,38.110,45.573,37.434,35.813,58.997,45.573,45.573,False
2025-04-03 08:00:00,28.960,22.218,15.471,20.029,28.920,22.218,22.218,False
2025-04-03 09:00:00,3.520,10.436,7.676,9.839,12.954,10.436,10.436,False
2025-04-03 10:00:00,0.500,9.137,5.437,12.877,9.108,9.137,9.137,False
2025-04-03 11:00:00,0.000,5.945,4.643,4.286,8.165,5.945,5.945,False
2025-04-03 12:00:00,0.000,4.640,3.547,2.403,7.137,4.640,4.640,False
2025-04-03 13:00:00,0.000,4.449,2.657,4.353,5.865,4.449,4.449,False
2025-04-03 14:00:00,1.870,5.383,3.635,6.528,5.837,5.383,5.383,False
2025-04-03 15:00:00,5.000,5.590,5.738,1.674,8.418,5.590,5.590,False
2025-04-03 16:00:00,10.060,15.468,12.448,9.461,22.240,15.468,15.468,False
2025-04-03 17:00:00,35.000,39.712,32.156,44.175,42.032,39.712,39.712,False
2025-04-03 18:00:00,80.000,77.899,87.156,82.300,67.656,77.899,77.899,False
2025-04-03 19:00:00,79.000,54.005,61.781,51.671,49.923,54.005,54.005,False
2025-04-03 20:00:00,35.010,26.399,30.947,24.899,24.114,26.399,26.399,False
2025-04-03 21:00:00,10.100,14.031,20.736,8.706,12.995,14.031,14.031,False
2025-04-03 22:00:00,3.600,4.986,3.547,3.342,7.299,4.986,4.986,False
2025-04-03 23:00:00,3.520,4.669,1.795,5.765,6.003,4.669,4.669,False
2025-04-04 00:00:00,3.520,2.977,1.656,3.306,3.721,2.977,2.977,False
2025-04-04 01:00:00,3.510,3.631,3.027,3.716,4.021,3.631,3.631,False
2025-04-04 02:00:00,3.520,4.747,2.225,5.113,6.365,4.747,4.747,False
2025-04-04 03:00:00,3.520,5.232,3.398,3.040,8.252,5.232,5.232,False
2025-04-04 04:00:00,3.520,9.622,8.725,4.932,13.813,9.622,9.622,False
2025-04-04 05:00:00,14.160,23.899,25.713,17.160,27.592,23.899,23.899,False
2025-04-04 06:00:00,17.720,40.095,46.442,39.167,36.030,40.095,40.095,False
2025-04-04 07:00:00,18.830,15.345,15.243,11.244,18.496,15.345,15.345,False
2025-04-04 08:00:00,4.730,6.277,4.888,13.001,2.275,6.277,6.277,False
2025-04-04 09:00:00,3.520,-0.198,0.614,6.157,-5.574,-0.198,-0.198,False
2025-04-04 10:00:00,0.000,-0.094,-1.538,1.372,-4.681,-1.922,-1.922,True
2025-04-04 11:00:00,-0.010,-0.094,-1.691,-2.158,-2.039,-1.970,-1.970,True
2025-04-04 12:00:00,-0.020,-0.094,-5.097,-1.255,0.576,-1.675,-1.675,True
2025-04-04 13:00:00,-0.010,-0.094,-5.382,-1.580,-1.805,-2.811,-2.811,True
2025-04-04 14:00:00,0.000,-0.094,-4.467,-0.614,-4.028,-3.136,-3.136,True
2025-04-04 15:00:00,0.010,-0.094,-4.567,-0.323,-2.684,-2.540,-2.540,True
2025-04-04 16:00:00,0.650,1.155,1.766,-0.451,1.901,1.155,1.155,False
2025-04-04 17:00:00,6.300,16.774,11.749,15.758,21.305,16.774,16.774,False
2025-04-04 18:00:00,35.010,46.434,45.761,44.026,48.746,46.434,46.434,False
2025-04-04 19:00:00,50.020,59.313,65.164,48.170,63.282,59.313,59.313,False
2025-04-04 20:00:00,35.010,33.304,30.216,39.018,31.335,33.304,33.304,False
2025-04-04 21:00:00,20.910,20.427,23.376,13.221,23.618,20.427,20.427,False
2025-04-04 22:00:00,35.000,16.445,15.055,12.125,20.729,16.445,16.445,False
2025-04-04 23:00:00,19.970,16.860,10.834,13.200,24.125,16.860,16.860,False
2025-04-05 00:00:00,19.100,14.379,10.753,6.187,23.242,14.379,14.379,False
2025-04-05 01:00:00,19.340,14.705,12.844,8.596,20.684,14.705,14.705,False
2025-04-05 02:00:00,13.200,10.645,7.664,6.200,16.215,10.645,10.645,False
2025-04-05 03:00:00,16.400,10.597,10.133,4.386,15.602,10.597,10.597,False
2025-04-05 04:00:00,19.750,13.276,10.399,10.636,17.415,13.276,13.276,False
2025-04-05 05:00:00,20.300,18.892,17.993,12.923,24.044,18.892,18.892,False
2025-04-05 06:00:00,21.460,19.136,17.848,15.208,23.049,19.136,19.136,False
2025-04-05 07:00:00,10.000,6.127,4.393,5.394,7.978,6.127,6.127,False
2025-04-05 08:00:00,0.660,-1.054,-5.102,4.065,-1.858,-1.054,-1.054,False
2025-04-05 09:00:00,-0.130,-0.094,-0.124,4.989,-0.319,1.332,1.332,True
2025-04-05 10:00:00,-0.300,-0.094,-1.147,1.763,0.495,0.383,0.383,True
2025-04-05 11:00:00,-1.000,-0.094,-0.327,-0.970,-2.986,-1.583,-1.583,True
2025-04-05 12:00:00,-1.010,-0.094,-0.758,-0.395,-5.666,-2.613,-2.613,True
2025-04-05 13:00:00,-1.200,-0.094,0.768,1.362,-4.889,-1.317,-1.317,True
2025-04-05 14:00:00,-1.000,-0.094,1.295,3.261,-2.898,0.208,0.208,True
2025-04-05 15:00:00,0.100,-0.094,3.527,3.956,1.455,2.827,2.827,True
2025-04-05 16:00:00,10.000,7.598,6.553,10.157,6.463,7.598,7.598,False
2025-04-05 17:00:00,46.490,30.988,31.276,38.570,25.085,30.988,30.988,False
2025-04-05 18:00:00,95.610,67.311,65.382,70.758,66.173,67.311,67.311,False
2025-04-05 19:00:00,95.610,77.676,74.674,79.550,78.522,77.676,77.676,False
