dia_entrega,inicio_utc,inicio_local,precio_previsto,precio_real,ingenua
2026-09-12,2026-09-11 22:00:00,2026-09-12 00:00,187.26,212.62,237.45
2026-09-12,2026-09-11 22:15:00,2026-09-12 00:15,184.38,207.22,231.30
2026-09-12,2026-09-11 22:30:00,2026-09-12 00:30,179.30,204.32,227.50
2026-09-12,2026-09-11 22:45:00,2026-09-12 00:45,175.70,199.05,226.03
2026-09-12,2026-09-11 23:00:00,2026-09-12 01:00,175.33,205.88,225.35
2026-09-12,2026-09-11 23:15:00,2026-09-12 01:15,171.13,199.05,224.00
2026-09-12,2026-09-11 23:30:00,2026-09-12 01:30,166.72,197.21,212.03
2026-09-12,2026-09-11 23:45:00,2026-09-12 01:45,163.25,194.00,207.50
2026-09-12,2026-09-12 00:00:00,2026-09-12 02:00,184.78,197.97,207.60
2026-09-12,2026-09-12 00:15:00,2026-09-12 02:15,182.29,198.57,206.87
2026-09-12,2026-09-12 00:30:00,2026-09-12 02:30,177.39,195.00,200.00
2026-09-12,2026-09-12 00:45:00,2026-09-12 02:45,175.78,194.00,197.50
2026-09-12,2026-09-12 01:00:00,2026-09-12 03:00,177.20,190.18,200.00
2026-09-12,2026-09-12 01:15:00,2026-09-12 03:15,176.61,189.82,200.00
2026-09-12,2026-09-12 01:30:00,2026-09-12 03:30,175.81,188.60,197.21
2026-09-12,2026-09-12 01:45:00,2026-09-12 03:45,175.42,188.60,197.21
2026-09-12,2026-09-12 02:00:00,2026-09-12 04:00,174.02,184.50,197.21
2026-09-12,2026-09-12 02:15:00,2026-09-12 04:15,173.57,182.43,197.21
2026-09-12,2026-09-12 02:30:00,2026-09-12 04:30,173.40,185.00,197.21
2026-09-12,2026-09-12 02:45:00,2026-09-12 04:45,172.95,185.00,197.21
2026-09-12,2026-09-12 03:00:00,2026-09-12 05:00,173.95,184.50,196.90
2026-09-12,2026-09-12 03:15:00,2026-09-12 05:15,173.60,185.20,197.21
2026-09-12,2026-09-12 03:30:00,2026-09-12 05:30,173.63,186.37,197.21
2026-09-12,2026-09-12 03:45:00,2026-09-12 05:45,175.70,188.60,197.21
2026-09-12,2026-09-12 04:00:00,2026-09-12 06:00,187.38,190.15,195.00
2026-09-12,2026-09-12 04:15:00,2026-09-12 06:15,192.15,191.12,205.00
2026-09-12,2026-09-12 04:30:00,2026-09-12 06:30,193.57,193.71,208.29
2026-09-12,2026-09-12 04:45:00,2026-09-12 06:45,196.00,191.76,216.12
2026-09-12,2026-09-12 05:00:00,2026-09-12 07:00,214.05,196.03,222.86
2026-09-12,2026-09-12 05:15:00,2026-09-12 07:15,215.43,196.70,225.00
2026-09-12,2026-09-12 05:30:00,2026-09-12 07:30,215.47,191.12,225.34
2026-09-12,2026-09-12 05:45:00,2026-09-12 07:45,215.21,186.80,223.90
2026-09-12,2026-09-12 06:00:00,2026-09-12 08:00,212.42,200.75,234.20
2026-09-12,2026-09-12 06:15:00,2026-09-12 08:15,199.84,188.62,226.00
2026-09-12,2026-09-12 06:30:00,2026-09-12 08:30,186.71,161.01,215.00
2026-09-12,2026-09-12 06:45:00,2026-09-12 08:45,162.03,128.28,188.12
2026-09-12,2026-09-12 07:00:00,2026-09-12 09:00,107.50,128.28,207.16
2026-09-12,2026-09-12 07:15:00,2026-09-12 09:15,86.45,106.59,184.50
2026-09-12,2026-09-12 07:30:00,2026-09-12 09:30,58.29,80.00,142.28
2026-09-12,2026-09-12 07:45:00,2026-09-12 09:45,27.36,10.01,103.85
2026-09-12,2026-09-12 08:00:00,2026-09-12 10:00,22.66,5.88,94.45
2026-09-12,2026-09-12 08:15:00,2026-09-12 10:15,13.87,1.08,80.00
2026-09-12,2026-09-12 08:30:00,2026-09-12 10:30,12.98,0.52,39.10
2026-09-12,2026-09-12 08:45:00,2026-09-12 10:45,-0.56,0.10,38.99
2026-09-12,2026-09-12 09:00:00,2026-09-12 11:00,-0.56,0.10,50.36
2026-09-12,2026-09-12 09:15:00,2026-09-12 11:15,-0.56,0.01,38.77
2026-09-12,2026-09-12 09:30:00,2026-09-12 11:30,-0.56,0.00,30.00
2026-09-12,2026-09-12 09:45:00,2026-09-12 11:45,-0.56,0.00,21.05
2026-09-12,2026-09-12 10:00:00,2026-09-12 12:00,-0.56,0.00,27.00
2026-09-12,2026-09-12 10:15:00,2026-09-12 12:15,-0.56,0.00,27.00
2026-09-12,2026-09-12 10:30:00,2026-09-12 12:30,-0.56,0.00,20.33
2026-09-12,2026-09-12 10:45:00,2026-09-12 12:45,-0.56,0.00,15.49
2026-09-12,2026-09-12 11:00:00,2026-09-12 13:00,-0.56,0.00,15.39
2026-09-12,2026-09-12 11:15:00,2026-09-12 13:15,-0.56,0.00,15.47
2026-09-12,2026-09-12 11:30:00,2026-09-12 13:30,-0.56,0.00,15.47
2026-09-12,2026-09-12 11:45:00,2026-09-12 13:45,-0.56,0.00,11.87
2026-09-12,2026-09-12 12:00:00,2026-09-12 14:00,-0.56,0.00,10.10
